location,year,grantee,description,amount,term,program
"Washington, DC",2017,R Street Institute,Support to build conservative support for transfer reform and raise the age campaigns in target states. ,"$200,000",24 months,Youth Justice
"Evanston, IL",2017,Youth Justice Initiative,General support. ,"$200,000",24 months,Youth Justice
"Oakland, CA",2017,Impact Justice,Support for Impact Justice's Center on Youth Registration Reform which advocates for an end to youth sex offender registries. ,"$200,000",24 months,Youth Justice
"Washington, DC",2017,Washington Legal Clinic for the Homeless,General support including activities around the Washington Legal Clinic for the Homeless's 30th anniversary year. ,"$25,000",12 months,President's Discretionary Fund
"Washington, DC",2017,The Constitution Project,General support to build capacity for advancing social justice policies. ,"$25,000",12 months,President's Discretionary Fund
"Washington, DC",2017,Alliance for Justice,Support to conduct an assessment of and develop a strategic plan for the Bolder Advocacy Initiative.,"$25,000",12 months,President's Discretionary Fund
"New York, NY",2017,"Do Something, Inc.",Support for Temporary Employee LLC's targeted distribution of a documentary film promoting temporary workers' rights at advocacy events. ,"$25,000",12 months,Workers' Rights
"San Diego, CA",2017,National COSH,General support. ,"$300,000",24 months,Workers' Rights
"Burlington, VT",2017,Rights & Democracy Education Fund,General support. ,"$300,000",24 months,Workers' Rights
"Brooklyn, NY",2017,Center for Popular Democracy,Support to provide technical assistance and serve as a campaign hub for state workers' rights coalitions. ,"$350,000",24 months,Workers' Rights
"Brooklyn, NY",2017,Make the Road NY,Support to launch a statewide multi-issue workers' rights advocacy table. ,"$600,000",24 months,Workers' Rights
"New York, NY",2017,National Employment Law Project,General support. ,"$700,000",24 months,Workers' Rights
"Washington, DC",2017,Urban Institute,Support to catalyze the need for and promotion of community-centric investment initiatives within the justice policy community that result in targeted investme…,"$350,000",24 months,Criminal Justice
"Denver, CO",2017,Colorado Criminal Justice Reform Coalition,General support. ,"$400,000",24 months,Criminal Justice
"Austin, TX",2017,Texas Public Policy Foundation,Support to advance state sentencing reform in coordination with state-based campaigns by generating support from conservative audiences through Right on Crime …,"$300,000",24 months,Criminal Justice
"New York, NY",2017,NEO Philanthropy,Support for Blackbird. ,"$25,000",12 months,President's Discretionary Fund
"Washington, DC",2017,National Legal Aid & Defender Association,Support for training and technical assistance to increase access to federal resources for civil legal services organizations nationally.,"$200,000",24 months,Special Initiative: Civil Legal Aid
"Washington, DC",2017,Washington Lawyers’ Committee for Civil Rights and Urban Affairs,Support to build capacity for racial justice advocacy.,"$100,000",12 months,Special Opportunities
"Chicago, IL",2017,Sargent Shriver National Center on Poverty Law,Support to train antipoverty advocates and legal aid lawyers in strategies to combat racism through its Racial Justice Training Institute. ,"$75,000",12 months,Special Opportunities
"Chicago, IL",2017,Sargent Shriver National Center on Poverty Law,Support to train antipoverty advocates and legal aid lawyers in strategies to combat racism through its Racial Justice Training Institute. ,"$25,000",12 months,Workers' Rights
"New York, NY",2017,"Vera Institute of Justice, Inc.",Support to provide technical assistance to the Illinois Department of Youth Justice on improving aftercare services and meaningfully incorporating youth voice …,"$185,000",12 months,Youth Justice
"San Francisco, CA",2017,Center on Juvenile and Criminal Justice,Support to develop and promote a comprehensive blueprint for reinvestment in community-based alternatives to incarceration in California. ,"$60,000",12 months,Criminal Justice
"New York, NY",2017,LatinoJustice PRLDEF,Support to help promote the Spanish translation of The New Jim Crow and engage Latinos in criminal justice reform. ,"$25,000",10 months,Criminal Justice
"Washington, DC",2017,New Venture Fund,Support to the Self-Represented Litigation Network. ,"$700,000",24 months,Special Initiative: Civil Legal Aid
"Brooklyn, NY",2017,Justice in Motion,General support. ,"$155,000",24 months,Workers' Rights
"Sausalito, CA",2017,"Small Business Majority Foundation, Inc.",Support to research small business owners' views on workers' rights issues such as wage theft and workers' comp. ,"$50,000",12 months,Workers' Rights
"Philadelphia, PA",2017,American Friends Service Committee,Support to implement a statewide sentencing reform campaign in Arizona. ,"$200,000",9 months,Criminal Justice
"New Orleans, LA",2017,Voice of the Ex-Offender,Support to develop and implement a statewide sentencing reform campaign to reduce incarceration in Louisiana. ,"$200,000",12 months,Criminal Justice
"St. Louis, MO",2017,ArchCity Defenders,"Support to Civil Rights Corps, for initial organizational development support for its innovative work on creating effective legal challenges to systematic inju…","$25,000",6 months,President's Discretionary Fund
"Boston, MA",2017,Public Health Advocacy Institute,"Support for Beyond OSHA which focuses on occupational safety and health research, policy design, and technical assistance for advocates.","$300,000",24 months,Workers' Rights
"Brooklyn, NY",2017,Make the Road New York,General support. ,"$200,000",24 months,Workers' Rights
"Baltimore, MD",2017,Centro de los Derechos del Migrante,General support. ,"$300,000",24 months,Workers' Rights
"Washington, DC",2017,Center for Progressive Reform,"Support for occupational safety and health research, policy design, and technical assistance for state and local advocacy. ","$400,000",24 months,Workers' Rights
"Washington, DC",2017,National Youth Justice Network,Support for targeted networking and capacity building activities among state-based advocacy member groups to advance juvenile justice reform. ,"$200,000",7 months,Youth Justice
"Minneapolis, MN",2016,Borealis Philanthropy,Support for organizational capacity building efforts of the Black-Led Movement Fund grantees.,"$50,000",12 months,Special Opportunities
"Providence, RI",2016,Stephen C. Rose Legacy Foundation,General Support.,"$50,000",12 months,Special Opportunities
"Boston, MA",2016,Community Labor United,General Support.,"$150,000",24 months,Workers' Rights
"Dorchester, MA",2016,Massachusetts Coalition for Occupational Safety and Health,General Support.,"$150,000",24 months,Workers' Rights
"Boston, MA",2016,Citizens for Youth Justice,General Support.,"$130,000",24 months,Youth Justice
"Newark, NJ",2016,New Jersey Institute for Social Justice,Support for a campaign to reduce youth incarceration in New Jersey.,"$400,000",24 months,Youth Justice
"Portland, OR",2016,Partnership for Safety and Justice,General Support.,"$50,000",24 months,Youth Justice
"Lansing, MI",2016,Michigan Council on Crime and Delinquency,Support for advocacy to reduce youth incarceration and raise the age of juvenile court jurisdiction in Michigan.,"$350,000",24 months,Youth Justice
"Jeffersontown, KY",2016,Kentucky Youth Advocates,Support to advocate for the deinstitutionalization of youth charged with status offenses in Kentucky and the effective implementation of reforms to reduce inca…,"$250,000",24 months,Youth Justice
"Portland, OR",2016,Partnership for Safety and Justice,General Support.,"$200,000",24 months,Criminal Justice
"Washington, DC",2016,Families Against Mandatory Minimums,General Support.,"$300,000",24 months,Criminal Justice
"New York, NY",2016,National Employment Law Project,"Support to undertake a program of research, analysis, education and outreach to help nonprofit organizations better understand the Fair Labor Standards Act's (…","$25,000",12 months,President's Discretionary Fund
"Indianapolis, IN",2016,National Association of IOLTA Programs,Support to promote civil legal aid to private philanthropy through IOLTA program leadership and engagement.,"$100,000",12 months,Special Initiative: Civil Legal Aid
"Lexington, KY",2016,Kentucky Equal Justice Center,Support for the workers' rights advocacy program.,"$160,000",24 months,Workers' Rights
"Washington, DC",2016,National Council of La Raza,Support for the Economic Policy Project.,"$115,000",12 months,Workers' Rights
"Madison, WI",2016,State Innovation Exchange,Support for policymaker education and engagement on wage theft.,"$150,000",24 months,Workers' Rights
"Austin, TX",2016,Texas Public Policy Foundation,Support to undertake research to educate policymakers about the need to raise the age of juvenile court jurisdiction in Texas.,"$75,000",12 months,Youth Justice
"Lansdowne, VA",2016,Prison Fellowship Ministries,Support to conduct advocacy and mobilize conservative grassroots membership to support state juvenile justice reform campaigns to reduce youth incarceration an…,"$150,000",24 months,Youth Justice
"Washington, DC",2016,Smithsonian Institution,"Support for exhibition development and construction of the new National Museum of African American History and Culture in Washington, DC.","$100,000",12 months,Special Opportunities
"Lincoln, NE",2016,Nebraska Appleseed,Support for advocacy and coalition building to improve health and safety policies for meatpacking workers.,"$105,000",12 months,Workers' Rights
"San Francisco, CA",2016,Center on Juvenile and Criminal Justice,Support for the Pacific Juvenile Defender Center to develop and implement litigation strategies for reducing transfer of youth to the adult system in Californi…,"$165,000",24 months,Youth Justice
"Washington, DC",2016,Justice Policy Institute,Support to research and write about juvenile justice reinvestment and raising the age of juvenile court jurisdiction.,"$90,000",12 months,Youth Justice
"Oakland, CA",2016,ColorOfChange.Org Education Fund,"Support to utilize innovations in online organizing to engage more people of color in criminal justice reform advocacy, including state-based sentencing reform…","$200,000",12 months,Criminal Justice
"Boston, MA",2016,Massachusetts Institute for a New Commonwealth (MassINC),Support to advance criminal justice reform in Massachusetts.,"$200,000",24 months,Criminal Justice
"New York, NY",2016,Robin Hood Foundation,Support for a new campaign to increase access to public benefits for people in need and to alleviate poverty in New York City that could serve as a model for o…,"$25,000",12 months,President's Discretionary Fund
"Washington, DC",2016,Washington Regional Association of Grantmakers,"Support for training, outreach, and related activities to further WRAG's work on its learning series on racism.","$75,000",12 months,Special Opportunities
"Williamsburg, VA",2016,National Center for State Courts,Support for a national multimedia community engagement project on public trust and confidence in the courts.,"$50,000",12 months,Special Opportunities
"Brooklyn, NY",2016,Center for Popular Democracy,Support to serve as a campaign hub for state workers' rights coalitions.,"$150,000",12 months,Workers' Rights
"Austin, TX",2016,"Southwest Key Programs, Inc.",Support to the National Alianza for Latino Justice to develop a strategic plan for promoting the fair treatment of Latino youth in the juvenile justice system.,"$75,000",12 months,Youth Justice
"Des Moines, IA",2016,Youth Policy Institute of Iowa,Support for the Youth Justice Work Group of the Youth Transition Funders Group.,"$15,000",18 months,Youth Justice
"Philadelphia, PA",2016,Youth Sentencing & Reentry Project,Support to ensure effective representation of individuals in Pennsylvania whose juvenile life without parole sentences are eligible for review under Montgomery…,"$200,000",24 months,Youth Justice
"Washington, DC",2016,New Venture Fund,Support to the Communities for Just Schools Fund to host a convening for school discipline and juvenile justice reform advocates.,"$50,000",12 months,Youth Justice
"Washington, DC",2016,Urban Institute,Support to provide research and data support to Youth First! and its partners advocating for youth decarceration reforms in the states.,"$165,000",12 months,Youth Justice
"Wilmington, DE",2016,Delaware Center for Justice,Support for advocacy to advance policies that promote sentencing reform and reduce racial disparities.,"$200,000",24 months,Criminal Justice
"Portland, OR",2016,Northwest Employment Education and Defense Fund,"$200,000 for general support and $200,000 for program support for a state policy coalition focused on workers' rights.","$400,000",24 months,Workers' Rights
"Berkeley, CA",2016,Hesperian Foundation,"Support to develop, publish and distribute a workers' guide to health and safety for low-literacy, limited English proficient, Spanish-speaking workers.","$75,000",24 months,Workers' Rights
"San Francisco, CA",2016,The Tides Foundation,"Support for the SumOfUs Education Fund, for its initiative on work in the on-demand economy.","$80,000",12 months,Workers' Rights
"Oakland, CA",2016,Partnership for Working Families,General Support.,"$150,000",24 months,Workers' Rights
"Oakland, CA",2016,W. Haywood Burns Institute,General Support.,"$500,000",24 months,Youth Justice
"Austin, TX",2016,Texas Criminal Justice Coalition,General Support.,"$250,000",24 months,Youth Justice
"Washington, DC",2016,DC Lawyers for Youth,General Support.,"$300,000",24 months,Youth Justice
"Bridgeport, CT",2016,Regional Youth Adult Social Action Partnership,"Support to the Connecticut Youth Justice Alliance to advocate for a safe, effective and fair juvenile justice system in Connecticut.","$400,000",24 months,Youth Justice
"Tuscon, AZ",2016,American Friends Service Committee,Support to develop a robust sentencing reform campaign to reduce incarceration in Arizona.,"$95,000",7 months,Criminal Justice
"San Francisco, CA",2016,Tides Center,Support for the Alliance for Safety and Justice.,"$750,000",12 months,Criminal Justice
"Medford, MA",2016,Law Enforcement Against Prohibition,"Support to solidify a sentencing reform advocacy plan, rebrand itself to improve outreach efforts, and increase the number of law enforcement professionals who…","$50,000",12 months,Criminal Justice
"Austin, TX",2016,Texas Criminal Justice Coalition,General Support.,"$550,000",24 months,Criminal Justice
"Atlanta, GA",2016,Southern Center for Human Rights,General Support.,"$350,000",24 months,Criminal Justice
"Columbia, MD",2016,Enterprise Community Loan Fund,Support to advance affordable housing in DC as part of the Washington Regional Area Grantmakers' campaign on social impact investing.,"$25,000",12 months,President's Discretionary Fund
"Washington, DC",2016,Namati,Support to explore opportunities in the U.S. in order to broaden its global network of community paralegals working to advance justice and legal empowerment.,"$30,000",12 months,Special Opportunities
"New York, NY",2016,NEO Philanthropy,Support for the Occupational Safety and Health Law Project.,"$150,000",24 months,Workers' Rights
"Washington, DC",2016,Urban Institute,Support for race and ethnicity data collection in the criminal justice system.,"$100,000",12 months,Criminal Justice
"Montgomery, AL",2016,Equal Justice Initiative of Alabama,Support for the Lynching Memorial project.,"$15,000",12 months,President's Discretionary Fund
"Boston, MA",2016,Community Labor United,Support for the Good Jobs-Strong Communities Subcontracting/Outsourcing campaign.,"$200,000",24 months,Workers' Rights
"New York, NY",2016,National Employment Law Project,Support for Turning Gig Jobs into Good Jobs strategy convenings.,"$50,000",12 months,Workers' Rights
"Austin, TX",2016,Workers Defense Project,Support for the Justice for Construction project.,"$30,000",12 months,Workers' Rights
"Minneapolis, MN",2016,BlueGreen Alliance Foundation,"Support for Health 2 - a program to protect the health of workers, communities and the environment with the second goal of improving the health the workers' ri…","$200,000",24 months,Workers' Rights
"Washington, DC",2016,Working America Education Fund,Support for organizing worker power and protections in the gig economy era.,"$150,000",12 months,Workers' Rights
"Covington, KY",2016,Children’s Law Center,Support for Ohio juvenile justice advocacy work.,"$50,000",12 months,Youth Justice
"Washington, DC",2016,The R Street Institute,"Support for efforts to ""raise the age"" and limitations on ""direct file.""","$100,000",12 months,Youth Justice
"Los Angeles, CA",2016,Social Impact Fund,Support for the Justice Policy Network.,"$100,000",12 months,Youth Justice
"Austin, TX",2016,Texas Appleseed,Support to ensure Texas' school-based law enforcement and juvenile justice policies are safe and unbiased.,"$200,000",24 months,Youth Justice
"Washington, DC",2016,Georgetown University,Support to the Justice Lab.,"$40,000",12 months,Special Initiative: Civil Legal Aid
"Washington, DC",2016,March on Washington Film Festival,General Support.,"$25,000",12 months,President's Discretionary Fund
"Washington, DC",2016,Public Citizen Foundation,Support to increase collective capacity with the Americans for Financial Reform on halting forced arbitration provisions in consumer contracts.,"$25,000",12 months,President's Discretionary Fund
"Washington, DC",2016,ONE DC,General Support.,"$25,000",12 months,President's Discretionary Fund
"Williamsburg, VA",2016,National Center for State Courts,Support for advancing the meaningful Access to Justice for All project.,"$1,250,000",24 months,Special Initiative: Civil Legal Aid
"Washington, DC",2016,New Venture Fund,Support for Voices for Civil Justice: A Breakthrough Strategic Communications Initiative for Civil Legal Aid.,"$900,000",36 months,Special Initiative: Civil Legal Aid
"Albuquerque, NM",2016,New Mexico Center on Law and Poverty,Support for the Legal Protections for New Mexico's Poorest Workers Project.,"$35,000",24 months,Workers' Rights
"San Jose, CA",2016,Working Partnerships USA,Support for Making Work Pay: An Emerging California Collaboration.,"$500,000",24 months,Workers' Rights
"Oakland, CA",2016,Worksafe,General Support.,"$100,000",24 months,Workers' Rights
"New York, NY",2016,National Economic and Social Rights Initiative,Support for the Right to Work with Dignity Initiatives.,"$250,000",24 months,Workers' Rights
"San Francisco, CA",2016,Youth Law Center,Support for the Healing Dialogue and Action project.,"$100,000",24 months,Youth Justice
"Durham, NC",2016,Southern Coalition for Social Justice,Support for the Youth Justice Project.,"$100,000",24 months,Youth Justice
"Charlottesville, VA",2016,Legal Aid Justice Center,Support to close two juvenile correctional centers and reinvest the savings into community based services.,"$400,000",24 months,Youth Justice
"New York, NY",2016,Correctional Association of New York,Support to advance juvenile justice reform in the state of New York.,"$300,000",24 months,Youth Justice
"Austin, TX",2016,Texas Criminal Justice Coalition,General Support.,"$50,000",6 months,Criminal Justice
"Lansing, MI",2016,Citizens Alliance on Prisons and Public Spending,General Support.,"$500,000",24 months,Criminal Justice
"Washington, DC",2016,Association of Prosecuting Attorneys,General Support.,"$250,000",12 months,Criminal Justice
"Montgomery, AL",2016,Equal Justice Initiative of Alabama,General Support.,"$200,000",24 months,Criminal Justice
"Atlanta, GA",2016,Institute of Church Administration and Management,Support for the Conference of National Black Churches for its national convening focused on race and reconciliation.,"$10,000",12 months,President's Discretionary Fund
"Oakland, CA",2016,Neighborhood Funders Group,Support for a strategic planning process and a paper to shine a spotlight on the emerging cohort of organizations specializing in workplace law.,"$60,000",12 months,Workers' Rights
"Washington, DC",2016,National Public Radio,Support for on-air coverage of issues related to low-wage workers' rights.,"$200,000",24 months,Workers' Rights
"Washington, DC",2016,Economic Policy Institute,"Support research estimating the impact of wage theft, misclassification, and forced arbitration.","$150,000",12 months,Workers' Rights
"Baltimore, MD",2016,Centro de los Derechos del Migrante,General Support.,"$150,000",12 months,Workers' Rights
"Baltimore, MD",2016,United Workers Association,General Support and Building Workers Rights Coalition for Maryland.,"$400,000",24 months,Workers' Rights
"Chicago, IL",2016,Raise the Floor Alliance,General Support.,"$700,000",24 months,Workers' Rights
"Baltimore, MD",2016,Public Justice Center,Support for the Workplace Justice Project.,"$600,000",24 months,Workers' Rights
"Washington, DC",2016,New Venture Fund,Support for Better Schools Better Jobs for Mississippi.,"$25,000",12 months,President's Discretionary Fund
"Alexandria, VA",2016,International Association of Chiefs of Police,"Support for activities to educate law enforcement about the need for pretrial detention reform, and develop leadership among police to advance reform.","$60,000",7 months,Criminal Justice
"Washington, DC",2015,Ciesla Foundation,Support for distribution and outreach activities around the film Rosenwald.,"$25,000",12 months,Special Opportunities
"Washington, DC",2015,The Praxis Project,Support for #BlackLivesMatter.,"$50,000",12 months,Special Opportunities
"Chicago, IL",2015,National People’s Action,Support to merge three community organizing and advocacy networks into one national entity with increased capacity to drive substantive campaigns for economic …,"$100,000",12 months,Special Opportunities
"Oakland, CA",2015,Movement Strategy Center,Support to Blackbird.,"$50,000",12 months,Special Opportunities
"Washington, DC",2015,Legal Services Corporation,Support to further improve data collection and analysis for its grantees to more effectively manage their respective operations and increase financial support …,"$100,000",18 months,Special Initiative: Civil Legal Aid
"Chicago, IL",2015,American Bar Association Fund for Justice and Education,Support toåÊcontinue the Access to Justice Commissions Expansion Project.,"$200,000",24 months,Special Initiative: Civil Legal Aid
"Washington, DC",2015,Alliance for Justice,Support for the Bolder Advocacy Initiative.,"$100,000",24 months,Special Opportunities
"New York, NY",2015,National Employment Law Project,"Support for advocacy and technical support on worker health and safety, and strategic communications on contracted jobs.","$175,000",12 months,Workers' Rights
"Washington, DC",2015,Center for Public Integrity,Support for a workers' rights reporting beat.,"$300,000",24 months,Workers' Rights
"Washington, DC",2015,New Venture Fund,"Support to Youth First!, a national initiative to end youth incarceration and redirect resources to community programs.","$895,000",24 months,Youth Justice
"Bronx, NY",2015,Community Connections for Youth,Support to provide technical assistance on building community capacity to provide alternatives to youth incarceration and reduce racial and ethnic disparities …,"$325,000",24 months,Youth Justice
"Chicago, IL",2015,Treatment Alternatives for Safe Communities (TASC),Support to provide technical assistance and establish pilot programs to divert pretrial defendants from jail to Medicaid-funded community-based behavioral heal…,"$400,000",12 months,Criminal Justice
"San Francisco, CA",2015,Tides Center,Support for Californians for Safety and Justice.,"$200,000",24 months,Criminal Justice
"Washington, DC",2015,The Sentencing Project,General Support.,"$350,000",24 months,Criminal Justice
"Gaithersburg, MD",2015,Pretrial Justice Institute,General Support.,"$860,000",24 months,Criminal Justice
"New York, NY",2015,Council of State Governments Justice Center,General Support.,"$300,000",24 months,Criminal Justice
"Portland, OR",2014,Partnership for Safety and Justice,General Support.,"$200,000",24 months,Criminal Justice
"Oakland, CA",2015,The Employee Rights Advocacy Institute for Law and Policy,Support to implement a strategic public education campaign to end forced arbitration of employment claims.,"$25,000",12 months,Workers' Rights
"Chicago, IL",2015,Gamaliel Foundation,Support for advocacy to improve access to federally-funded construction jobs for women and people of color.,"$20,500",12 months,Workers' Rights
"Wheat Ridge, CO",2015,Front Range Economic Strategy Center,General Support.,"$75,000",12 months,Workers' Rights
"Whitesburg, KY",2015,Appalachian Citizens’ Law Center,General Support.,"$100,000",24 months,Workers' Rights
"Indianapolis, IN",2015,National Association of IOLTA Programs,Support to promote civil legal aid to private philanthropy through IOLTA program leadership and engagement.,"$75,000",18 months,Special Opportunities
"Williamsburg, VA",2015,National Center for State Courts,Support to foster state court education and leadership on pretrial detention reform rights.,"$200,000",24 months,Criminal Justice
"Oakland, CA",2015,Worksafe,General Support.,"$100,000",12 months,Workers' Rights
"San Jose, CA",2015,Working Partnerships USA,Support for research and advocacy on workplace policy issues.,"$100,000",12 months,Workers' Rights
"Lexington, KY",2015,Kentucky Equal Justice Center,"Support for advocacy, litigation, and coalition building to advance policy remedies for wage theft.","$80,000",12 months,Workers' Rights
"San Francisco, CA",2015,Executives’ Alliance to Expand Opportunities for Boys and Men of Color,General Support.,"$120,000",24 months,Special Opportunities
"Washington, DC",2015,New Venture Fund,Support to the Self-Represented Litigation Network for the development of a national online tool for the self-represented litigation service innovation.,"$25,000",6 months,President's Discretionary Fund
"Los Angeles, CA",2015,National Health Law Program,Support to train and assist legal advocates seeking to enforce Medicaid provisions in the face of the new case law affecting access to the courts in state and …,"$15,000",12 months,President's Discretionary Fund
"Washington, DC",2015,March on Washington Film Festival,General Support.,"$25,000",6 months,President's Discretionary Fund
"Oakland, CA",2015,W. Haywood Burns Institute,To support research on effective alternative-to-incarceration programs for youth of color.,"$200,000",24 months,Youth Justice
"New York, NY",2015,Vera Institute of Justice,Support to provide technical assistance to the Illinois Department of Youth Justice on improving aftercare services for youth.,"$185,000",12 months,Youth Justice
"Washington, DC",2015,National Youth Justice Network,To support an independent evaluation of its Youth Justice Leadership Institute.,"$45,000",12 months,Youth Justice
"New Orleans, LA",2015,Louisiana Center for Children’s Rights,Support for an advocacy campaign to raise the age of juvenile court jurisdiction in Louisiana and to remove youth from adult jail in New Orleans.,"$170,000",24 months,Youth Justice
"Washington, DC",2015,Justice Policy Institute,Support to provide state decarceration campaigns with technical assistance on developing policy reports.,"$75,000",12 months,Youth Justice
"New York, NY",2015,Human Rights Watch,Support for research and advocacy to reduce the number of youth tried as adults in California.,"$200,000",24 months,Youth Justice
"Washington, DC",2015,Georgetown University,Support to the Center for Youth Justice Reform to convene the Youth Justice Leadership Network.,"$200,000",24 months,Youth Justice
"Milwaukee, WI",2015,WISDOM,Support for statewide grassroots education and advocacy activities to advance criminal justice reform in Wisconsin.,"$75,000",24 months,Criminal Justice
"Washington, DC",2015,National Criminal Justice Association,Support to assist target State Administering Agencies in taking a leadership role on pretrial reform in their jurisdictions.,"$50,000",12 months,Criminal Justice
"Denver, CO",2015,National Conference of State Legislatures,Support for efforts to advance understanding of and support for pretrial reform strategies among key state lawmakers.,"$100,000",24 months,Criminal Justice
"New York, NY",2015,Brennan Center for Justice,Support for research and advocacy to reform policies contributing to overincarceration.,"$100,000",24 months,Criminal Justice
"New York, NY",2015,American Civil Liberties Union Foundation,Support to advance sentencing reform in two southern states.,"$150,000",24 months,Criminal Justice
"Los Angeles, CA",2015,Los Angeles Alliance for a New Economy,"Support for the Clean and Safe Ports campaign, a coordinated national campaign to improve employment conditions and end misclassification of truckers operating…","$350,000",24 months,Workers' Rights
"Washington, DC",2015,Jobs with Justice Education Fund,Support for the Future of Work Program.,"$250,000",24 months,Workers' Rights
"Lawrence, KS",2015,"Kansas Appleseed Center for Law and Justice, Inc.",Support for a campaign to reform the state's juvenile justice system.,"$250,000",24 months,Youth Justice
"Philadelphia, PA",2015,Juvenile Law Center,Support for litigation challenges to laws allowing youth to be tried and sentenced as adults and work to reduce length of stay for incarcerated youth.,"$265,000",24 months,Youth Justice
"Baltimore, MD",2015,"Community Law in Action, Inc.",Support for a campaign to end the automatic prosecution of youth in adult courts for certain crimes in Maryland.,"$200,000",24 months,Youth Justice
"Chicago, IL",2015,Children and Family Justice Center,Support to promote more effective and fair juvenile justice policies in Illinois.,"$180,000",24 months,Youth Justice
"Washington, DC",2015,Center on Budget and Policy Priorities,Support to provide technical assistance on fiscal and budget issues to state advocates advancing youth decarceration reforms.,"$400,000",24 months,Youth Justice
"Washington, DC",2015,Campaign for Youth Justice,General Support.,"$800,000",24 months,Youth Justice
"Little Rock, AR",2015,Arkansas Advocates for Children and Families,Support to advance reforms to reduce the use of youth incarceration in Arkansas.,"$200,000",24 months,Youth Justice
"New York, NY",2015,Vera Institute for Justice,"Support to Common Justice, a project that promotes a significant increase in federal victims' assistance funds to advance racial equality in the justice system.","$100,000",24 months,Criminal Justice
"Landsowne, VA",2015,Prison Fellowship Ministries,Support to mobilize grassroots prison ministry volunteers for advocacy in states targeted by the Americans for Safety and Justice sentencing reform campaign.,"$300,000",24 months,Criminal Justice
"Washington, DC",2015,New Venture Fund,"Support for Alliance for Safety and Justice, a multi-state advocacy campaign seeking to significantly reduce the U.S. prison population in target states, and b…","$750,000",24 months,Criminal Justice
"New York, NY",2015,National Employment Law Project,"Support for a coordinated national campaign with Community Legal Services, a sub-grantee, to reduce unnecessary structural barriers to employment for people wi…","$400,000",24 months,Criminal Justice
"Washington, DC",2015,National Association of Counties Research Foundation,"Support to educate the organization's members, county government officials, about opportunities to manage local jail populations using pretrial detention refor…","$150,000",24 months,Criminal Justice
"Denver, CO",2015,JFA Institute,Support to provide technical assistance and research in efforts to reduce prison and jail incarceration in target states and in partnership with Americans for …,"$100,000",24 months,Criminal Justice
"New York, NY",2015,Drug Policy Alliance,Support to advance sentencing and pretrial detention reforms that would reduce incarceration rates in New Jersey.,"$250,000",24 months,Criminal Justice
"Oakland, CA",2015,Community Oriented Correctional Health Services,General Support.,"$100,000",24 months,Criminal Justice
"Denver, CO",2015,Colorado Criminal Defense Institute,Support for advocacy to reduce over-incarceration in Colorado through pretrial detention reform.,"$300,000",24 months,Criminal Justice
"Lexington, KY",2015,United Support and Memorial for Workplace Fatalities,General Support.,"$230,000",24 months,Workers' Rights
"Chicago, IL",2015,Raise the Floor Alliance,General Support.,"$150,000",12 months,Workers' Rights
"Washington, DC",2015,Public Citizen Foundation,Support for comprehensive advocacy to improve standards for workers' health and safety.,"$300,000",24 months,Workers' Rights
"Albuquerque, NM",2015,New Mexico Center on Law and Poverty,Support for the Legal Protections for New Mexico's Poorest Workers project.,"$75,000",12 months,Workers' Rights
"Oakland, CA",2015,Neighborhood Funders Group,Support for the Working Group on Labor and Community Partnerships program.,"$75,000",24 months,Workers' Rights
"Longmeadow, MA",2015,National Council for Occupational Safety and Health,General Support.,"$400,000",24 months,Workers' Rights
"Chicago, IL",2015,In These Times,Support for original news coverage and commentary on workers' rights issues in In These Times magazine and online in the blog Working In These Times.,"$160,000",24 months,Workers' Rights
"Chicago, IL",2015,Interfaith Worker Justice,General Support.,"$500,000",24 months,Workers' Rights
"Brooklyn, NY",2015,Global Workers Justice Alliance,General Support.,"$100,000",24 months,Workers' Rights
"Washington, DC",2015,Farmworker Justice,General Support.,"$150,000",12 months,Workers' Rights
"Baltimore, MD",2015,Centro de los Derechos del Migrante,General Support.,"$150,000",12 months,Workers' Rights
"Washington, DC",2015,Center for Progressive Reform,"Support for Winning Safer Workplaces, Lessons from the Past, Reforms for the Future program.","$500,000",24 months,Workers' Rights
"Brooklyn, NY",2015,Center for Popular Democracy,Support for the Economic Justice Initiative.,"$175,000",12 months,Workers' Rights
"Washington, DC",2015,Center for Economic and Policy Research,Support for the Working Group on Domestic Contracting.,"$50,000",12 months,Workers' Rights
"Washington, DC",2015,Center for Community Change,Support to the Poverty Initiative's campaigns for job quality.,"$100,000",24 months,Workers' Rights
"Boston, MA",2015,Beyond OSHA,"Support for occupational safety and health research, policy design, and technical assistance for advocates.","$390,000",24 months,Workers' Rights
"Berkeley, CA",2015,Economic Inequality Media Project,Support for the Economic Inequality Video Project.,"$50,000",12 months,Special Opportunities
"St. Louis, MO",2015,Deaconess Foundation,"Support for youth organizing for police reform in Ferguson, Missouri.","$75,000",12 months,Special Opportunities
"Silver Spring, MD",2015,Catholic Legal Immigration Network,General Support.,"$150,000",12 months,Special Opportunities
"Washington, DC",2015,Advancement Project,Support for youth organizing for police reform in targeted locations around the country.,"$125,000",12 months,Special Opportunities
"Baltimore, MD",2015,Public Justice Center,Support to implement a targeted fundraising strategy to bolster and sustain the National Coalition for a Right to Civil Counsel.,"$50,000",24 months,Special Initiative: Civil Legal Aid
"Washington, DC",2015,New Venture Fund,Support to bring the Self-Represented Litigation Network to scale.,"$600,000",24 months,Special Initiative: Civil Legal Aid
